"","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","A1BG",3.0766146110138,-0.746049139610226,0.181887104924788,-4.10171540153286,4.10098491995679e-05,7.71054264797551e-05
"2","A1CF",874.659217462299,-1.3909861610401,0.174496059195695,-7.97144742094221,1.56826615264843e-15,6.70346830016884e-15
"3","A2M",9963.82671676314,-1.37683857936338,0.152822762247221,-9.00938158110287,2.0722168686329e-19,1.15009392371998e-18
"4","A2ML1",7.23650656208504,1.79376516865826,0.396101242424194,4.52855224002877,5.938919925474e-06,1.21346850808294e-05
"5","A4GALT",341.338714993453,-0.478028556728802,0.183377202895636,-2.60680471280205,0.00913914670784629,0.0131911383977347
"6","AAAS",1656.20570797959,0.555208694030163,0.0659355035402969,8.42048159518254,3.74939821546339e-17,1.78784208975188e-16
"7","AACS",1937.10604092609,0.208126822646618,0.088307218854891,2.35684947782829,0.018430715939899,0.0254999080721614
"8","AADAC",23.0179610576357,2.57948147431212,0.344956139036805,7.47770856177428,7.56296849174133e-14,2.87226844129925e-13
"9","AADAT",273.987726714844,1.16637115105397,0.149098010006535,7.82284854776296,5.16412213962768e-15,2.13111132871594e-14
"10","AAED1",264.65895142177,0.208096302443749,0.103862655786572,2.00357193707203,0.0451159344803958,0.0592268858143957
"11","AAGAB",2039.87383044176,-0.0732618325688186,0.0795393955286986,-0.92107605397108,0.357010721259306,0.402182441769333
"12","AAK1",1032.2848752222,-0.616633815347795,0.123445749460931,-4.99518062015537,5.87807270494795e-07,1.30905975772876e-06
"13","AAMDC",406.787439303649,-0.44756152802499,0.094985050718098,-4.71191545028794,2.45399199413e-06,5.19822133288858e-06
"14","AAMP",5596.90498534873,0.0882929150927244,0.0653560610251362,1.35095221021301,0.176710741869577,0.210787741251135
"15","AANAT",7.4366897049838,1.52767352891758,0.26141908207851,5.8437720642703,5.10318439218175e-09,1.35073518220653e-08
"16","AAR2",2104.14927584312,0.523972466679455,0.0845580937537425,6.19659743283019,5.76968192466902e-10,1.64276607561375e-09
